disease_name,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Testicular torsion,Sudden severe pain in one testicle,The pain may occur withoutclear reason,Swelling within one side of scrotum scrotal swelling,Nausea or vomiting,Testicle lump,Blood in semen,Testicle pulled tohigher position in scrotum than normal high riding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetanus,Drooling,Excessive sweating,Fever,Hand or foot spasms,Irritability,Swallowing difficulty,Uncontrolled urination or defecation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrahydrozoline poisoning,Coma,Difficulty breathing or no breathing,Blurred visionchange in pupil size,Blue lips and fingernails,Fast or slow heartbeat changes in blood pressure high at first low later,Headache,Irritability,Low body temperature,Nausea and vomiting,Nervousness tremors,Seizures,Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetralogy of Fallot,Blue color to skin cyanosiswhich gets worse when baby is upset,Clubbing of fingers skin or bone enlargement around fingernails,Difficulty feeding poor feeding habits,Failure to gain weight,Passing out,Poor development,Squatting during episodes of cyanosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassemia,Bone deformities in face,Fatigue,Growth failure,Shortness of breath,Yellow skin jaundice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiazide overdose,Confusion,Dizziness fainting,Drowsiness,Dry mouth,Fever,Frequent urination palecolored urine,Heart rhythm problems,Low blood pressure,Muscle cramps and twitching,Nausea vomiting,Rash,Seizures,Skin sensitive to sunlight yellow skin,Slow breathing,Vision problems things you see look yellow,Weakness,Coma unresponsiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thioridazine overdose,Cannot completely empty bladder,Blurred vision,Drooling,Dry mouth,Nasal congestion,Swallowing difficulties,Ulcers in mouth on tongue or in throat,Vision color changes brown tinge,Yellow eyes,Rapid heartbeat,Slow heartbeat,Irregular heartbeat,High or very low blood pressure,Difficulty breathing,Fluid buildup in lungs,Breathing may stop in severe cases,Constipation,Loss of appetite,Nausea,Muscle spasms,Muscle stiffness,Neck or face stiffness,Drowsiness coma,Difficulty walking,Dizziness,Fever,Hypothermia body temperature is lower than normal,Seizures,Tremor,Weakness lack of coordination,Menstrual changes,Skin discoloration bluish changing topurplish color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoracic aortic aneurysm,The aneurysm grows quickly,The aneurysm tears open calledrupture,Blood leaks along wall of aorta aortic dissection,Hoarseness,Swallowing problems,Highpitched breathing stridor,Swelling in neck,Chest or upper back pain,Clammy skin,Nausea and vomiting,Rapid heart rate,Sense of impending doom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoracic outlet syndrome,Pain numbness and tingling in pinky and ring fingers and inner forearm,Pain and tingling in neck and shoulders carrying something heavy may make pain worse,Signs of poor circulation in hand or forearmbluish color cold hands orswollen arm,Weakness of muscles in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throat or larynx cancer,Abnormal highpitched breathing sounds,Cough,Coughing up blood,Difficulty swallowing,Hoarseness that does not get better in 3 to 4 weeks,Neck or ear pain,Sore throat that does not get better in 2 to 3 weeks even with antibiotics,Swelling or lumps in neck,Weight loss not due to dieting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thromboangiitis obliterans,Fingers or toes that appear pale red or bluish and feel cold to touch,Sudden severe pain in hands and feet,The pain may feel likeburning or tingling,Pain in hands and feet that most often occurs when at rest,The pain may be worse when hands and feet get cold or during emotional stress,Pain in legs ankles or feet when walking intermittent claudication,The pain is often located in arch of foot,Skin changes or small painful ulcers on fingers or toes,Occasionally arthritis in wrists or knees develops before blood vessels become blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrombocytopenia,Bleeding in mouth and gums,Bruising,Nosebleeds,Rash pinpoint red spots called petechiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrombocytopenia - drug induced,Abnormal bleeding,Bleeding when you brush your teeth,Easy bruising,Pinpoint red spots on skin petechiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrombophlebitis,Swelling in part of body affected,Pain in part of body affected,Skin redness not always present,Warmth and tenderness over vein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrombotic thrombocytopenic purpura,Bleeding into skin or mucus membranes,Confusion,Fatigue weakness,Fever,Headache,Pale skin color or yellowish skin color,Shortness of breath,Fast heart rate over 100 beats per minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrush - children and adults,White velvety sores in mouth and on tongue,Some bleeding when you brush your teeth or scrape sores,Pain when swallowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrush in newborns,White velvety sores in mouth and on tongue,Wiping sores may cause bleeding,Redness in mouth,Diaper rash,Mood changes such as being very fussy,Refusing to nurse because of soreness,Some babies may not feel anything at all,Deeppink cracked and sore nipples,Tenderness and pain during and after nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid cancer,Cough,Difficulty swallowing,Enlargement of thyroid gland,Hoarseness or changing voice,Neck swelling,Thyroid lump nodule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid cancer - medullary carcinoma,Swelling of neck,Hoarseness,Breathing problems due to narrowing of airways,Cough,Cough with blood,Diarrhea due to high calcitonin level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid cancer - papillary carcinoma,Thyroid cancer often begins assmall lump nodule in thyroid gland,While some small lumps may be cancer most 90 thyroid nodules are harmless and are not cancerous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid nodule,A visible goiterenlarged thyroid gland,Hoarseness or changing voice,Pain in neck,Problems breathingespecially when lying down flat,Problems swallowingfood,Warm sweaty skin,Fast pulse,Increased appetite,Nervousness,Restlessness,Skin blushing or flushing,Weight loss,Irregular menstrual periods,Fatigue,Palpitations,Chest pain,Memory loss,Thyroid nodules are sometimes found in people who have hashimoto disease,Constipation,Dry skin,Face swelling,Fatigue,Hair loss,Feeling cold when other people do not,Weight gain,Irregular menstrual periods,Health care providers find thyroid nodules only duringroutine physical exam or imaging tests that are done for another reason,A few people have thyroid nodules that are big enough thaty notice nodule onir own and askprovider to examineir neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid preparation overdose,Changes in menstrual pattern,Chest pain,Confusion,Convulsions tremors,Dilated pupils,Diarrhea,Excessive sweating skin flushing,Fever,Headache,High blood pressure,Irritability nervousness,Irregular heartbeat,Muscle weakness,Nausea and vomiting,Rapid heartbeat,Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyroid storm,Agitation,Change in alertness consciousness,Confusion,Diarrhea,Increased temperature,Pounding heart tachycardia,Restlessness,Shaking,Sweating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyrotoxic periodic paralysis,Comes and goes,Can last fromfew hours up to several days rare,Is more common in legs than arms,Is most common in shoulders and hips,Is triggered by heavy highcarbohydrate highsalt meals,Is triggered during rest after exercise,Difficulty breathing,Speech difficulty,Swallowing difficulty,Vision changes,People are alert during attacks and can answer questions,Normal strength returns between attacks,Muscle weakness may develop over time with repeated attacks,Excessive sweating,Fast heart rate,Fatigue,Headache,Heat intolerance,Increased appetite,Insomnia,More frequent bowel movements,Sensation of feelinga strongheartbeat palpitations,Tremors of hand,Warm moist skin,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tick bite,Watch forred spot or rash starting at site of bite,Stopped breathing,Difficulty breathing,Blisters,Rash,Severe pain at site lasting several weeks from some kinds of ticks,Swelling at site from some kinds of ticks,Weakness,Uncoordinated movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tick paralysis,Children with tick paralysis developunsteady gait followed several days later by weakness in lower legs,This weakness gradually moves up to involve upper limbs,Paralysis may cause breathing difficulties which may require use ofbreathing machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinea versicolor,Have sharp borders edges and fine scales,Are often dark reddish to tan in color,Are found on back underarms upper arms chest and neck,Are found on forehead in children,Do not darken in sun so may appear lighter than surrounding healthy skin,Americans may haveloss of skin color orincrease in skin color,Increased sweating,Mild itching,Mild swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMJ disorders,Biting or chewing difficulty or discomfort,Clicking popping or grating sound when opening or closing mouth,Dull aching pain in face,Earache,Headache,Jaw pain or tenderness of jaw,Locking of jaw,Difficulty opening or closing mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toilet bowl cleaners and deodorizers poisoning,Severe change in blood acid level can lead to organ damage,Burns and pain in throat,Burns and pain in nose eyes ears lips or tongue,Drooling from burns,Loss of vision,Collapse,Low blood pressurethat develops rapidly,Breathing difficulty due to throat swelling,Burns of breathing passages,Irritation,Coma,Headache,Seizures,Burns,Ulcers in skin or tissues under skin,Irritation,Blood in stool,Burns in food pipe esophagus,Diarrhea,Nausea and vomiting sometimes containing blood,Severeabdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolmetin overdose,Rapid breathing,Slow breathing,Wheezing,Blurred vision,Ringing in ears,Kidney failure,Coma,Confusion,Convulsions,Dizziness,Drowsiness,Incoherence not understandable,Unsteadiness,Abdominal pain,Bleeding in stomach and intestines,Diarrhea,Heartburn,Nausea and vomiting sometimes bloody,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toluene and xylene poisoning,Blurred vision,Burning pain,Hearing loss,Bloody stools,Abdominal pain severe,Loss of appetite,Nausea,Vomiting may be bloody,Irregular heartbeat,Low blood pressure,Kidney damage,Breathing difficulty,Chest pain,Cough,Rapid shallow breathing,Convulsions,Dizziness,Drowsiness,Extreme feeling of wellbeing euphoria,Headache,Memory loss,Nervousness,Staggering,Tremors,Unconsciousness,Dry cracked skin,Pale skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongue tie,Acting irritable or fussy even after feeding,Difficulty creating or keeping suction on nipple,The infant may become tired in 1 or 2 minutes or fall asleep before eating enough,Poor weight gain or weight loss,Problems latching onto nipple,The infant may just chew on nipple instead,The breastfeeding mother may have problems with breast pain plugged milk ducts or painful breasts and may feel frustrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonsillitis,Difficulty swallowing,Ear pain,Fever and chills,Headache,Sore throat which lasts longer than 48 hours and may be severe,Tenderness of jaw and throat,Problems breathing if tonsils are very large,Problems eating or drinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooth abscess,Bitter taste in mouth,Breath odor,General discomfort uneasiness or ill feeling,Fever,Pain when chewing,Sensitivity of teeth to hot or cold,Swelling of gum over infected tooth which may look likepimple,Swollen glands of neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toothpaste overdose,Convulsions,Diarrhea,Difficulty breathing,Drooling,Heart attack,Salty or soapy taste in mouth,Slow heart rate,Shock,Tremors,Vomiting,Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torticollis,Limited movement of head,Headache,Head tremor,Neck pain,Shoulder that is higher than other,Stiffness of neck muscles,Swelling of neck muscles possibly present at birth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total anomalous pulmonary venous return,Bluish color of skin cyanosis,Frequent respiratory infections,Lethargy,Poor feeding,Poor growth,Rapid breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tourette syndrome,Arm thrusting,Eye blinking,Jumping,Kicking,Repeated throat clearing or sniffing,Shoulder shrugging,Tics may occur many timesday,They tend to improve or get worse at different times,The tics may change with time,Contrary to popular belief onlysmall number of people use curse words or other inappropriate words or phrases coprolalia, Tourette syndrome is different from ocd,People with ocd feel as thoughy have to do behaviors,Sometimesperson can have both tourette syndrome and ocd,Many people with tourette syndrome can stop doing tic for periods of time,Buty find that tic is stronger forfew minutes aftery allow it to start again,Often tic slows or stops during sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic megacolon,Painful distended abdomen,Fever,Diarrhea usually bloody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic nodular goiter,Fatigue,Frequent bowel movements,Heat intolerance,Increased appetite,Increased sweating,Irregular menstrual period in women,Muscle cramps,Nervousness,Restlessness,Weight loss,These may include weakness and fatigue palpitations and chest pain or pressure and changes in memory and mood,Toxic nodular goiter does not cause bulging eyes that can occur with,Graves disease,This isautoimmune disorder that leads tooveractive thyroid gland hyperthyroidism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic shock syndrome,Confusion,Diarrhea,General ill feeling,Headaches,High fever sometimes accompanied by chills,Low blood pressure,Muscle aches,Nausea and vomiting,Organ failure most oftenkidneys and liver,Redness of eyes mouth throat,Seizures,Widespread red rash that looks likesunburn  skin peeling occurs 1 or 2 weeks after rash particularly on palms of hand or bottom of feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic synovitis,Hip pain on one side only,Limp,Thigh pain in front and toward middle of thigh,Knee pain,Lowgrade fever less than 101,Aside from hip discomfort child does not usually appear ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxoplasmosis,Enlarged lymph nodes in head and neck,Headache,Fever,Mild illness similar to mononucleosis,Muscle pain,Sore throat,Confusion,Fever,Headache,Blurred vision due to inflammation of retina,Seizures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracheal rupture,Coughing up blood,Bubbles of air that can be felt underneath skin of chest neck arms and trunk subcutaneous emphysema,Difficulty breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracheitis,Deep cough similar to that caused by croup,Difficulty breathing,High fever,Highpitched breathing sound stridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracheomalacia - acquired,Breathing problems that get worse with coughing crying or upper respiratory infections such ascold,Breathing noises that may change when body position changes and improve during sleep,Highpitched breathing,Rattling noisy breaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracheomalacia - congenital,Breathing noises that may change with position and improve during sleep,Breathing problems that get worse with coughing crying feeding or upper respiratory infections such as cold,Highpitched breathing,Rattling or noisy breaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachoma,Cloudy cornea,Discharge from eye,Swelling of lymph nodes just in front of ears,Swollen eyelids,Turnedin eyelashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfusion reaction - hemolytic,Back pain,Bloody urine,Chills,Fainting or dizziness,Fever,Flank pain,Flushing of skin,Sometimesy may develop after several days delayed reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transient familial hyperbilirubinemia,Yellow skin jaundice,Yellow eyes icterus,Lethargy,If untreated seizures and neurologic problems kernicterus may develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transient ischemic attack,Change in alertness including sleepiness or unconsciousness,Changes in senses such as hearing vision taste and touch,Mental changes such as confusion memory loss difficulty writing or reading trouble speaking or understanding others,Muscle problems such as weakness trouble swallowing trouble walking,Dizziness or loss of balance and coordination,Lack of control over bladder or bowels,Nerve problems such as numbness or tingling on one side of body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transient tachypnea - newborn,Bluish skin color cyanosis,Rapid breathing which may occur with noises such as grunting,Flaring nostrils or movements between ribs or breastbone known as retractions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transient tic disorder,Movements that occur again and again and do not haverhythm,An overwhelming urge to make movement,Brief and jerky movements that include blinking clenching fists jerking arms kicking raising eyebrows sticking out tongue,The tics often look like nervous behavior,Tics appear to get worse with stress,They do not occur during sleep,Sounds may also occur such as,Clicking,Grunting,Hissing,Moaning,Sniffing,Snorting,Squealing,Throat clearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transplant rejection,The organs function may start to decrease,General discomfort uneasiness or ill feeling,Pain or swelling in area of organ rare,Fever rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transposition of great arteries,Blueness of skin,Clubbing of fingers or toes,Poor feeding,Shortness of breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traumatic amputation,Bleeding may be minimal or severe depending on location and nature of injury,Pain degree of pain is not always related to severity of injury or amount of bleeding,Crushed body tissue badly mangled but still partially attached by muscle bone tendon or skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traumatic injury of bladder and urethra,Lower abdominal pain,Abdominal tenderness,Bruising at site of injury,Blood in urine,Bloody urethral discharge,Difficulty beginning to urinate or inability to empty bladder,Leakage of urine,Painful urination,Pelvic pain,Small weak urine stream,Abdominal distention or bloating,Shock or internal bleeding may occur afterbladder injury,This ismedical emergency,Decreased alertness drowsiness coma,Increased heart rate,Decrease in blood pressure,Pale skin,Sweating,Skin that is cool to touch,Ifre is no or little urine releasedre may beincreased risk for urinary tract infections or kidney damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trazodone hydrochloride overdose,Difficulty breathing,Stopped breathing,Chest pain,Irregular heartbeat,Low blood pressure sometimes leading to fainting,Slow heart rate,Coma lack of responsiveness,Dizziness,Drowsiness,Headache,Insomnia,Seizures,Lack of coordination,Tremor,Abnormal erection that lasts for more than 4 hoursand can cause permanent damage to penis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treacher Collins syndrome,Outer part of ears are abnormal or almost completely missing,Hearing loss,Very small jaw micrognathia,Very large mouth,Defect in lower eyelid coloboma,Scalp hair that reaches to cheeks,Cleft palate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trench mouth,Bad breath,Craterlike ulcers between teeth,Fever,Foul taste in mouth,Gums appear red and swollen,Grayish film on gums,Painful gums,Severe gum bleeding in response to any pressure or irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichinosis,Abdominal discomfort cramping,Diarrhea,Facial swelling around eyes,Fever,Muscle pain especially muscle pain with breathing chewing or using large muscles,Muscle weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichomoniasis,Discomfort with intercourse,Itching of inner thighs,Vaginal discharge thin greenishyellow frothy or foamy,Vaginalor vulvar itching or swelling of labia,Vaginal odor foul or strong smell,Burning after urination or ejaculation,Itching of urethra,Slight discharge from urethra,Occasionally some men with trichomoniasis may develop,Swelling and irritation in prostate gland prostatitis,Swelling in epididymis epididymitis tube that connects testicle with vas deferens,The vas deferens connects testicles to urethra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichorrhexis nodosa,Your hair may break easily or it may appear like it is not growing,Americans looking at scalp area usingmicroscope shows that hair breaks off at scalp area before it grows long,In other people problem often appears at end ofhair shaft in form of split ends thinning hair and hair tips that look white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trichotillomania,An uneven appearance to hair,Bare patches or all around diffuse loss of hair,Bowel blockage obstruction if people eat hairy pull out,Constant tugging pulling or twisting of hair,Denying hair pulling,Hair regrowth that feels like stubble in bare spots,Increasing sense of tension before hair pulling,Other selfinjury behaviors,Sense of relief pleasure or gratification after hair pulling,Feeling sad or depressed,Anxiety,Poor selfimage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricuspid atresia,Bluish color to skin cyanosis due to low oxygen level in blood,Fast breathing,Fatigue,Poor growth,Shortness of breath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricuspid regurgitation,Active pulsing in neck veins,Decreased urine output,Fatigue tiredness,General swelling,Swelling of abdomen,Swelling of feet and ankles,Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigeminal neuralgia,Very painful sharp electriclike spasms that usually last from several seconds to less than 2 minutes but can become constant,Pain is usually only on one side of face often around eye cheek and lower part of face,There is usually no loss of sensation or movement of affected part of face,Pain may be triggered by touch or sounds,Painful attacks of trigeminal neuralgia can be triggered by common everyday activities such as talking smiling brushing teeth chewing drinking eating,The right side of face is mostly affected,In some cases it goes away on its own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trisodium phosphate poisoning,Breathing difficulty from inhaling trisodium phosphate,Coughing,Throat swelling which may also cause breathing difficulty,Blood in stool,Burns of esophagus food pipe and stomach,Diarrhea,Severe abdominal pain,Vomiting possibly bloody,Drooling,Severe pain in throat,Severe pain or burning in nose eyes ears lips or tongue,Vision loss,Low blood pressure develops rapidly,Collapse,Severe change in blood acid level,Shock,Burns,Hives,Holes in skin or tissue under skin,Skin irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trisomy 13,Cleft lip or palate,Clenched hands with outer fingers on top of inner fingers,Closeset eyes  eyes may actually fuse together into one,Decreased muscle tone,Extra fingers or toes polydactyly,Hernias umbilical hernia inguinal hernia,Hole split or cleft in iris coloboma,Lowset ears,Intellectual disability severe,Scalp defects missing skin,Seizures,Single palmar crease,Skeletal limb abnormalities,Small eyes,Small head microcephaly,Small lower jaw micrognathia,Undescended testicle cryptorchidism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trisomy 18,Clenched hands,Crossed legs,Feet withrounded bottom rockerbottom feet,Low birth weight,Lowset ears,Mental delay,Poorly developed fingernails,Small head microcephaly,Small jaw micrognathia,Undescended testicle,Unusual shaped chest pectus carinatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropical sprue,Abdominal cramps,Diarrhea worse onhighfat diet,Excess gas flatus,Fatigue,Fever,Leg swelling,Weight loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truncus arteriosus,Bluish skin cyanosis,Delayed growth or growth failure,Fatigue,Lethargy,Poor feeding,Rapid breathing tachypnea,Shortness of breath dyspnea,Widening of finger tips clubbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
